ID,STREET_NAME,X,Y,BUS_TRAM_NO
202901,"Ul./Pl.: Żegańska,",21.180579,52.206978,"['119', '125', '147', '525', 'N25']"
202902,"Ul./Pl.: Żegańska,",21.182825,52.206846,"['119', '125', '147', '525', 'N25']"
203001,"Ul./Pl.: Żegańska,",21.185681,52.206887,"['119', '125', '147', '525', 'N25']"
203002,"Ul./Pl.: Żegańska,",21.185837,52.206795,"['119', '125', '147', '525', 'N25']"
203101,"Ul./Pl.: al.Dzieci Polskich,",21.191205,52.207365,"['119', '125', '147', '525', 'N25']"
203102,"Ul./Pl.: al.Dzieci Polskich,",21.193246,52.207395,"['119', '125', '147', '525', 'N25']"
203201,"Ul./Pl.: al.Dzieci Polskich,",21.196622,52.208298,"['525', 'N25']"
203202,"Ul./Pl.: al.Dzieci Polskich,",21.196528,52.208373,['125']
203301,"Ul./Pl.: al.Dzieci Polskich,",21.200035,52.208710,"['119', '147']"
203302,"Ul./Pl.: al.Dzieci Polskich,",21.201150,52.208930,"['119', '147']"
203401,"Ul./Pl.: al.Dzieci Polskich,",21.205616,52.210086,['119']
203501,"Ul./Pl.: Widoczna,",21.149433,52.222521,['521']
203502,"Ul./Pl.: Widoczna,",21.148840,52.223280,['521']
203601,"Ul./Pl.: Widoczna,",21.153583,52.218916,['521']
203602,"Ul./Pl.: Widoczna,",21.153001,52.219623,['521']
203701,"Ul./Pl.: Patriotów,",21.159017,52.213449,"['521', 'N22']"
203702,"Ul./Pl.: Widoczna,",21.158127,52.214609,['521']
203703,"Ul./Pl.: Lucerny,",21.156605,52.214012,"['119', '213', '219', 'N22']"
203705,"Ul./Pl.: Mrówcza,",21.158048,52.213051,"['119', '213', '219']"
203801,"Ul./Pl.: Patriotów,",21.163045,52.209503,"['521', 'N22']"
203802,"Ul./Pl.: Patriotów,",21.162321,52.210395,"['521', 'N22']"
203803,"Ul./Pl.: Mrówcza,",21.161627,52.209419,"['119', '213', '219']"
203804,"Ul./Pl.: Mrówcza,",21.160800,52.210315,"['119', '213', '219']"
203901,"Ul./Pl.: Patriotów,",21.167349,52.205188,"['521', 'N22']"
203902,"Ul./Pl.: Patriotów,",21.168287,52.204259,"['521', 'N22']"
203903,"Ul./Pl.: Zwoleńska,",21.166485,52.204369,"['119', '147', '305']"
203904,"Ul./Pl.: Zwoleńska,",21.167011,52.204500,"['119', '147', '305']"
203905,"Ul./Pl.: Żegańska,",21.169148,52.205238,['115']
203906,"Ul./Pl.: Żegańska,",21.169322,52.205201,['115']
203909,"Ul./Pl.: Mrówcza,",21.166053,52.203920,"['213', '219']"
203910,"Ul./Pl.: Mrówcza,",21.165312,52.205283,"['119', '213', '219']"
204001,"Ul./Pl.: Patriotów,",21.172059,52.200192,"['521', 'N22']"
204002,"Ul./Pl.: Patriotów,",21.171649,52.200781,"['521', 'N22']"
204101,"Ul./Pl.: Patriotów,",21.181191,52.191043,"['219', '521', 'N22']"
204102,"Ul./Pl.: Patriotów,",21.180646,52.191744,"['219', '521', 'N22']"
204201,"Ul./Pl.: Patriotów,",21.186419,52.186011,"['219', '521', 'N22']"
204202,"Ul./Pl.: Patriotów,",21.185694,52.186892,"['219', '521', 'N22']"
204301,"Ul./Pl.: Patriotów,",21.188079,52.184286,"['521', 'N22']"
204302,"Ul./Pl.: Patriotów,",21.188956,52.183565,"['521', 'N22']"
204303,"Ul./Pl.: Panny Wodnej,",21.187122,52.184003,"['161', '213', '219']"
204304,"Ul./Pl.: Panny Wodnej,",21.187745,52.183908,"['161', '213', '219']"
204305,"Ul./Pl.: Izbicka,",21.190516,52.183866,"['161', '213']"
204306,"Ul./Pl.: Izbicka,",21.190318,52.183790,"['161', '213']"
204307,"Ul./Pl.: Patriotów,",21.188659,52.184676,['115']
204308,"Ul./Pl.: Patriotów,",21.188025,52.185453,['115']
