LINE_NUMBER,FROM,TO,FROM_STREET_NAME,TO_STREET_NAME
711,415702,415802,"Sportowa,                       RS 02      | 7| 9|                                               r","Kościół,                        RS 02  NŻ  | 7|10|"
711,415802,415902,"Kościół,                        RS 02  NŻ  | 7|10|","Puchały,                        FL 02  NŻ  | 8|11|"
711,415902,416602,"Puchały,                        FL 02  NŻ  | 8|11|","Janki,                          JK 02  NŻ  |10|13|               Mszczonowska,                   r"
711,416602,406402,"Janki,                          JK 02  NŻ  |10|13|               Mszczonowska,                   r","pl.Szwedzki,                    JK 02  NŻ  |11|14|               droga lokalna,                  r"
711,406402,405302,"pl.Szwedzki,                    JK 02  NŻ  |11|14|               droga lokalna,                  r","Janki Małe,                     JK 02  NŻ  |13|16|               Sąsiedzka,                                                                           |  |  |               Przerąbkowska,                                                                       |  |  |"
711,405302,405502,"Janki Małe,                     JK 02  NŻ  |13|16|               Sąsiedzka,                                                                           |  |  |               Przerąbkowska,                                                                       |  |  |","Wolica,                         WL 02  NŻ  |16|19|                                               r"
711,405502,405602,"Wolica,                         WL 02  NŻ  |16|19|                                               r","Długa,                          WL 02  NŻ  |18|21|"
711,405602,405702,"Długa,                          WL 02  NŻ  |18|21|","Paszków,                        PZ 02  NŻ  |23|26|"
711,405702,415002,"Paszków,                        PZ 02  NŻ  |23|26|","Centrum Mody,                   ND 02  NŻ  |25|28|               Kościelna,                      r"
711,415002,434702,"Centrum Mody,                   ND 02  NŻ  |25|28|               Kościelna,                      r","Węzeł Nadarzyn,                 ND 02      |28|31|               zawrotka na rondzie,                                                                 |  |  |               Kościelna,                                                                           |  |  |               al.Katowicka,                                                                        |  |  |               Komorowska,                     r"
711,434702,424602,"Węzeł Nadarzyn,                 ND 02      |28|31|               zawrotka na rondzie,                                                                 |  |  |               Kościelna,                                                                           |  |  |               al.Katowicka,                                                                        |  |  |               Komorowska,                     r","Komorowska-Hotel,               ND 02  NŻ  |32|36|                                               r"
711,424602,415102,"Komorowska-Hotel,               ND 02  NŻ  |32|36|                                               r","Komorowska,                     ND 02  NŻ  |33|37|                                               r"
711,415102,424702,"Komorowska,                     ND 02  NŻ  |33|37|                                               r","Macierzanki,                    ND 02  NŻ  |34|38|"
711,424702,424802,"Macierzanki,                    ND 02  NŻ  |34|38|","Jodłowa,                        SA 02  NŻ  |35|39|"
711,424802,424902,"Jodłowa,                        SA 02  NŻ  |35|39|","Lipowa,                         ND 02      |38|42|"
712,605923,605901,"Metro Młociny,","Metro Młociny,"
712,605901,605701,"Metro Młociny,","Sokratesa,"
712,605701,605001,"Sokratesa,","Tołstoja,"
